"Title","Company","Location","PostingDate","JobLink"
"Lead Analyst, People Data","Chipotle Mexican Grill","Newport Beach, CA","3 weeks ago","https://www.linkedin.com/jobs/view/lead-analyst-people-data-at-chipotle-mexican-grill-4115505714?position=21&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=biaMG4rQ%2B1lq4Ce%2B6CRY7w%3D%3D"
"Business Intelligence Analyst","REVOLVE","Cerritos, CA","3 weeks ago","https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-revolve-4098481959?position=22&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=XJr88bLqUMdOxhqqm7QfZA%3D%3D"
"Data Analyst (22227)","Orion Innovation","Edison, NJ","2 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-22227-at-orion-innovation-4115209968?position=23&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=zWN0THrzTQHrJ5GdBRJeYg%3D%3D"
"Data Analyst (US - Contract)","Expedia Group","United States","3 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-us-contract-at-expedia-group-4096170137?position=24&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=Wgg2PjKSPa4U9ixoat653w%3D%3D"
"Data Analyst","MailOnline","New York, United States","3 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-at-mailonline-4115700148?position=25&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=XKp4cGoxiZ8vVN7pIhlUmw%3D%3D"
"Data Analyst","ConglomerateIT","United States","1 day ago","https://www.linkedin.com/jobs/view/data-analyst-at-conglomerateit-4115440983?position=26&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=8zl%2FO2Ni0A9ffG%2FZWs506g%3D%3D"
"Data Analyst","IMA Financial Group, Inc.","Denver, CO","2 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-at-ima-financial-group-inc-4104254257?position=27&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=g4IqRXh9zlceKnCWD0C9mQ%3D%3D"
"Data Analyst","Lumata Health","United States","1 week ago","https://www.linkedin.com/jobs/view/data-analyst-at-lumata-health-4095622294?position=28&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=G%2BTycuQA1Ro1ZuU7Axh%2F%2Bg%3D%3D"
"Data Analyst","London Approach","Philadelphia, PA","1 day ago","https://www.linkedin.com/jobs/view/data-analyst-at-london-approach-4112664976?position=29&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=tMcCm7iuySnVk5Q0wrF7Kg%3D%3D"
"Junior Data Analyst (contingent)","ARETUM","Washington, DC","4 days ago","https://www.linkedin.com/jobs/view/junior-data-analyst-contingent-at-aretum-4097626541?position=30&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=MPIMgHvGpMc2ECQoTE3Ybg%3D%3D"
"Data Analyst","Netradyne","San Diego, CA","2 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-at-netradyne-4114783848?position=31&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=5t6y6TNZnLT2Y7dDvrAljQ%3D%3D"
"Junior Data Analyst","Big-D Construction","Salt Lake City, UT","2 weeks ago","https://www.linkedin.com/jobs/view/junior-data-analyst-at-big-d-construction-4102593928?position=32&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=LK668P1kfLK7p4Yfzc6JCg%3D%3D"
"Product Insights Analyst","Airbnb","United States","2 weeks ago","https://www.linkedin.com/jobs/view/product-insights-analyst-at-airbnb-4107247222?position=33&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=cAvlGvuAS3GhtEyIuqadLg%3D%3D"
"Data Analyst","Netwrix Corporation","United States","3 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-at-netwrix-corporation-4114753028?position=34&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=4vVuZPb5OMzGJdykSRk2Sg%3D%3D"
"Data Analyst","Tata Consultancy Services","Burlington, MA","2 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-4112142873?position=35&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=1XBf%2BnbVvH2g2LJKkcPTDQ%3D%3D"
"Data Analyst","SnapTryAI","United States","4 days ago","https://www.linkedin.com/jobs/view/data-analyst-at-snaptryai-4115549870?position=36&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=RsCJ%2FriCp04taXhPeEF4Xw%3D%3D"
"Data Analyst (REMOTE) - Contractor Role","Gridware","United States","2 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-remote-contractor-role-at-gridware-4105707314?position=37&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=%2FGhg905k83lgPOq5s1di0g%3D%3D"
"Data Analyst I","Global Technical Talent, an Inc. 5000 Company","Boston, MA","2 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-i-at-global-technical-talent-an-inc-5000-company-4113649916?position=38&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=jIWUletVK9rwP6svtjyAxA%3D%3D"
"Data Analyst","Optomi","Rockville, MD","1 week ago","https://www.linkedin.com/jobs/view/data-analyst-at-optomi-4102610041?position=39&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=4VHSxULl4hcACbyPmaPNFQ%3D%3D"
"Data Analyst","CULT GAIA","Los Angeles Metropolitan Area","3 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-at-cult-gaia-4103399780?position=40&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=FA8VTtS7P4UoqngSwN6kpw%3D%3D"
"Data Analyst","CapMetro","Austin, TX","1 day ago","https://www.linkedin.com/jobs/view/data-analyst-at-capmetro-4095609362?position=41&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=iwRYqjb7ZWTzDDRH2ZaQLw%3D%3D"
"Business Data Analyst","Slalom","New Jersey, United States","1 day ago","https://www.linkedin.com/jobs/view/business-data-analyst-at-slalom-4103902193?position=42&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=%2FAFJZbilu4FPQ7x%2B9KJTMQ%3D%3D"
"Data Analyst","Place.","Aurora, CO","3 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-at-place-4115412237?position=43&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=vUB8QybwUMwCaRmgUHoDDQ%3D%3D"
"Business Data Analyst","PCS Global Tech","New York, United States","2 weeks ago","https://www.linkedin.com/jobs/view/business-data-analyst-at-pcs-global-tech-4045206173?position=44&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=oZU4BOKXLrWvXVto9y%2F17g%3D%3D"
"Business Data Analyst","Slalom","Indianapolis, IN","2 weeks ago","https://www.linkedin.com/jobs/view/business-data-analyst-at-slalom-4103906001?position=45&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=24MPdNfvTitq9TQ4mhbvRg%3D%3D"
"Business Data Analyst","Slalom","Houston, TX","2 weeks ago","https://www.linkedin.com/jobs/view/business-data-analyst-at-slalom-4103399484?position=46&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=c99JCKBekHqsf7c7rE3T%2BA%3D%3D"
"Data Analyst","Brooksource","Charlotte Metro","2 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-at-brooksource-4109977247?position=47&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=mYnIelV25Nv%2BPzBHuPvuQQ%3D%3D"
"Data Analyst","IntePros","Charlotte, NC","1 week ago","https://www.linkedin.com/jobs/view/data-analyst-at-intepros-4098208689?position=48&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=b3%2BqKwZiC6tAdya5iTWcVw%3D%3D"
"Data Analyst (Logistics)","American Bath Group","Jackson, TN","2 weeks ago","https://www.linkedin.com/jobs/view/data-analyst-logistics-at-american-bath-group-4115188124?position=49&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=ma%2Bo553AtYc%2F4BnmHWEY%2Fw%3D%3D"
"Data Analyst","Brooksource","United States","1 day ago","https://www.linkedin.com/jobs/view/data-analyst-at-brooksource-4115501879?position=50&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=f7zkBiqZs1%2Fn%2FhI%2FZjtMeA%3D%3D"
"Analyst, Data Visualization & Business Intelligence","Royal Caribbean Group","Miami, FL",NA,"https://www.linkedin.com/jobs/view/analyst-data-visualization-business-intelligence-at-royal-caribbean-group-4100090558?position=51&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=8Th95kHjaSo06WqSKna7Aw%3D%3D"
"Data Analyst","Cloud and Things","United States",NA,"https://www.linkedin.com/jobs/view/data-analyst-at-cloud-and-things-4104504831?position=52&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=X93vw5jm2Hi9AQ4NvXRKEg%3D%3D"
"Data Analyst","Popl","New York, United States",NA,"https://www.linkedin.com/jobs/view/data-analyst-at-popl-4103903365?position=53&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=OuSqiJvCCAXWUjvhDs5F6w%3D%3D"
"Business Data Analyst","Slalom","Hartford, CT",NA,"https://www.linkedin.com/jobs/view/business-data-analyst-at-slalom-4103901345?position=54&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=UYY%2B%2BYtrQYod%2F10iyShEAA%3D%3D"
"Business Data Analyst","Slalom","Dallas, TX",NA,"https://www.linkedin.com/jobs/view/business-data-analyst-at-slalom-4103904033?position=55&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=D38vC4MaWSBTO5vsxW02gw%3D%3D"
"Data Analyst","EMERGE","Naperville, IL",NA,"https://www.linkedin.com/jobs/view/data-analyst-at-emerge-4115839667?position=56&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=XTmrqpIhbNEvC9%2B99UJ5rQ%3D%3D"
"Data Analyst","Gupta Media","Boston, MA",NA,"https://www.linkedin.com/jobs/view/data-analyst-at-gupta-media-4102079149?position=57&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=byLLQ8bDKRFypOo1jT%2BzLA%3D%3D"
"Data Analyst (056-24)","Anglicotech, LLC","Honolulu, HI",NA,"https://www.linkedin.com/jobs/view/data-analyst-056-24-at-anglicotech-llc-4109075297?position=58&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=rgwf2pUJAsmAfWd%2FRlg3mA%3D%3D"
"Data Analyst","LaSalle Network","Chicago, IL",NA,"https://www.linkedin.com/jobs/view/data-analyst-at-lasalle-network-4103793324?position=59&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=HUB36R4vHTT0L1w%2FI7MS7Q%3D%3D"
"Data Analyst","IntePros","Pittsburgh, PA",NA,"https://www.linkedin.com/jobs/view/data-analyst-at-intepros-4113019936?position=60&pageNum=0&refId=2glvF%2B9h53vnhTASkcGgYQ%3D%3D&trackingId=RuWgNDo4RDnFYn1PT5uyiw%3D%3D"
